Bölge Adı;Şehir;İlçe;Mağaza_2;Mağaza;Ürün Ana Grubu;Ürün Kategori;Ürün Marka;Ürün Adı;Kampanya;Satış Tipi;Tarih;Tarihnum;Yıl;Ay;Yıl_Ay;AyNum;Gun;Hafta;Haftanıngunu;Ciro;Kâr;Kâr %;Sepet Ortalaması;Kampanya Sayısı;Kampanya Tutarı;İade Tutar;Yeni Müşteri %;Yeni Müşteri Sayı;İndirim Oranı;Miktar;Maliyet;Hedef;MemberID;Magaza_ID
İç Anadolu 1. Bölge;Eskişehir;Tepebaşı;Mağaza 99;Eskişehir 4;Ses Ve Görüntü;Lcd Tv;Marka 347; 40MV732 FHD LCD TV;Zamanın Gerisinde Kalma!;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;73.15;10.05;0.1593;73.15;1;869.0;0.0;1;1;0.573;11;63.1;103.58;641242;M103
Marmara 1. Bölge;İstanbul;Şişli;Mağaza 180;İstanbul Avrupa 30;Bilgisayar;Virus Koruma Yazilimi;Marka 325; NORTON INTERNET SECURITY 2013 TK 1 USER RET;Kaliteli ve Ekonomik Fırsat;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;13.8;9.45;2.1729;13.8;1;521.5;0.0;1;1;0.5737;35;4.35;16.77;594856;M156
Ege 1. Bölge;Muğla;Bodrum;Mağaza 243;Muğla 3;Bilgisayar;Tablet Pc;Marka 347; PORTEGE Z10T-A-109 TABLET PC;;Mağaza;2023-10-04;45203;2023;10;2023-10;10;4;40;2;83.06;28.96;0.5354;83.06;0;0.0;0.0;1;1;;0;54.09;138.75;639314;M249
Akdeniz 2. Bölge;Adana;Çukurova;Mağaza 6;Adana 6;Bilgisayar;Tablet Pc;Marka 287; P6200 GALAXY TAB 7 GRİ TABLET;;Mağaza;2023-10-04;45203;2023;10;2023-10;10;4;40;2;73.61;49.85;2.0979;73.61;0;0.0;0.0;1;1;;0;23.76;126.96;668747;M6
Marmara 1. Bölge;İstanbul;Şişli;Mağaza 180;İstanbul Avrupa 30;Bilgisayar;Webcam;Marka 1; PK635K WEBCAM;Kaliteli ve Ekonomik Fırsat;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;32.31;17.1;1.1242;32.31;1;209.4;0.0;1;1;0.5011;6;15.21;56.92;594856;M156
Akdeniz 1. Bölge;Antalya;Manavgat;Mağaza 50;Antalya 6;Bilgisayar;Monitör;Marka 20;" E960SWN 18,5"" LED MONİTÖR";İndirim Havuzu;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;91.67;49.61;1.1794;91.67;1;990.0;0.0;1;1;0.5;10;42.06;94.63;663134;M51
Ege 1. Bölge;İzmir;Çeşme;Mağaza 123;Izmir 8;Fotoğraf & Video Kamera;Kamera Kaseti;Marka 329; DVD-RW 60 YENİDEN KAYDEDİLEBİLİR DİSK;Kaliteli ve Ekonomik Fırsat;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;54.63;5.11;0.1033;54.63;1;8260.0;0.0;0;0;0.6424;140;49.52;69.98;625322;M186
Akdeniz 2. Bölge;Mersin;Silifke;Mağaza 238;Mersin 3;Fotoğraf & Video Kamera;Dijital Fotoğraf Makinesi;Marka 317; CYBERSHOT HX300 SİYAH DİJİTAL FOTOĞRAF MAKİNESİ;İndirim Havuzu;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;54.63;-39.44;-0.4193;54.63;1;531.0;0.0;0;0;0.5391;9;94.07;43.02;709790;M244
Akdeniz 2. Bölge;Adana;Çukurova;Mağaza 5;Adana 5;Telekom;Cep Bilgisayari (Pda);Marka 177; P725 OPTIMUS 3D MAX SİYAH AKILLI TELEFON;İndirim Havuzu;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;25.34;8.16;0.4749;25.34;1;897.0;0.0;1;1;0.3898;30;17.18;38.14;728888;M5
Marmara 2. Bölge;Bilecik;Bilecik Merkez;Mağaza 72;Bilecik 2;Oyun & Hobi;Oyuncu Mouse;Marka 269; RZ02-00320100-R3M1 VESPULA MOUSEPAD;Zamanın Gerisinde Kalma!;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;10.09;0.0;;;1;0.0;10.09;1;1;0.5546;0;10.09;0.0;670682;M75
Akdeniz 2. Bölge;Mersin;Tarsus;Mağaza 240;Mersin 5;Telekom;Cep Telefonu;Marka 249; XENIUM F511 WHITE DOUBLE SIM CEP TELEFONU;Bitiriyoruz!!!;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;34.25;11.62;0.5136;34.25;1;36.99;0.0;1;1;0.6943;1;22.63;38.39;647536;M246
Karadeniz 2. Bölge;Amasya;Merzifon;Mağaza 20;Amasya 3;Telekom;Cep Telefonu;Marka 287; S3850 DEEP BLACK CEP TELEFONU;Tarzına ve Ruhuna Göre;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;45.28;20.85;0.8533;45.28;1;97.8;0.0;1;1;0.3566;2;24.43;60.2;770938;M20
İç Anadolu 1. Bölge;Eskişehir;Tepebaşı;Mağaza 96;Eskişehir 1;Spor;Egzersiz Aleti;Marka 371; YOGA MİNDERİ;Mutluluğu Teğet Geçme!;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;36.94;11.13;0.431;36.94;1;119.7;0.0;1;1;0.43;3;25.82;54.58;725483;M100
Ege 1. Bölge;Manisa;Soma;Mağaza 232;Manisa 6;Ses Ve Görüntü;Prizler;Marka 249; SPN5044B 1800J 2M HOME THEATER 4LU AKIM KORUYUCU PRİZ;İndirim Havuzu;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;97.22;58.01;1.4795;97.22;1;525.0;0.0;1;1;0.4976;5;39.21;62.99;626271;M238
Ege 1. Bölge;Muğla;Bodrum;Mağaza 243;Muğla 3;Beyaz Eşya;Çay Kahve Makinesi;Marka 169; ÇMŞR MAKİNESİ A+;;Mağaza;2023-10-04;45203;2023;10;2023-10;10;4;40;2;33.06;21.32;1.8165;33.06;0;0.0;0.0;1;1;;0;11.74;44.19;639314;M249
İç Anadolu 2. Bölge;Aksaray;Aksaray Merkez;Mağaza 17;Aksaray 2;Ses Ve Görüntü;Prizler;Marka 249; SPN3080B 900J 8'Li AKIM KORUMALI PRİZ;Kaliteli ve Ekonomik Fırsat;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;27.69;12.68;0.8456;27.69;1;299.0;0.0;1;1;0.6674;10;15.0;24.01;662551;M17
Ege 1. Bölge;Manisa;Soma;Mağaza 232;Manisa 6;Ses Ve Görüntü;Prizler;Marka 208; 121794 AKIM KORUMALI PRİZ (1.1027.1170) + MONSTER 129317 1M HDMI KABLO (1.1027.1171);İndirim Havuzu;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;148.15;58.7;0.6562;148.15;1;480.0;0.0;1;1;0.3305;3;89.45;170.41;626271;M238
Marmara 1. Bölge;İstanbul;Şişli;Mağaza 187;İstanbul Avrupa 35;Bilgisayar;Notebook & Netbook Çantasi;Marka 103;" EQ-HQBAG13RED 13,3"" NOTEBOOK KIRMIZI ÇANTA";;Mağaza;2023-10-04;45203;2023;10;2023-10;10;4;40;2;23.6;13.85;1.4199;23.6;0;0.0;0.0;1;1;;0;9.75;28.71;646624;M163
Marmara 2. Bölge;Bursa;İnegöl;Mağaza 78;Bursa 3;Beyaz Eşya;Bulaşik Makinesi;Marka 287; DMS300TRW BULAŞIK MAKİNESİ;;Mağaza;2023-10-04;45203;2023;10;2023-10;10;4;40;2;73.15;36.34;0.9875;73.15;0;0.0;0.0;0;0;;0;36.8;93.18;670878;M81
